country code,asciiname,feature class,population,elevation
CH,Sobrio,P,81,
CH,Soazza,P,371,
CH,Siviriez,P,922,
CH,Sissach,P,5873,
CH,Sisikon,P,368,
CH,Siselen,P,620,
CH,Sirnach,P,6463,
CH,Sitten,P,28045,500.0
CH,Sins,P,3600,
CH,Silvaplana,P,973,
CH,Sils im Domleschg,P,834,
CH,Silenen,P,2243,
CH,Sigriswil,P,4341,
CH,Signau,P,2821,
CH,Siglistorf,P,569,
CH,Sigirino,P,440,
CH,Sierre,P,15752,
CH,Siebnen,P,7104,
CH,Sevelen,P,4392,
CH,Seuzach / Seuzach (Dorf),P,1419,
CH,Sessa,P,642,
CH,Seon,P,4407,
CH,Sent,P,848,
CH,Sennwald,P,4768,
CH,Seen (Kreis 3) / Sennhof,P,910,
CH,Semsales,P,986,
CH,Sempach,P,3754,
CH,Sementina,P,2695,
CH,Sembrancher,P,787,
CH,Selzach,P,2900,
CH,Seltisberg,P,1412,
CH,Selma,P,49,
CH,Sils-Segl Maria,P,735,
CH,Seftigen,P,2014,
CH,Seewis,P,221,
CH,Seengen,P,3288,
CH,Seelisberg,P,628,
CH,Seegraben,P,203,
CH,Seedorf,P,2920,
CH,Seedorf,P,1522,
CH,Seeberg,P,1321,
CH,Zuerich (Kreis 11) / Seebach,P,17851,
CH,Sedeilles,P,154,
CH,Scuol,P,2184,1250.0
CH,Schwyz,P,14177,
CH,Schwellbrunn,P,1517,
CH,Schwarzenberg,P,1591,
CH,Schwanden,P,2541,521.0
CH,Schwaderloch,P,726,
CH,Schuepfheim,P,3723,
CH,Schupfen,P,3248,
CH,Schubelbach,P,7745,
CH,Schoetz,P,3231,
CH,Schonholzerswilen,P,728,
CH,Schonenwerd,P,4732,
CH,Schonengrund,P,473,
CH,Schonenbuch,P,1313,
CH,Schoenenberg,P,468,
CH,Schoftland,P,3310,
CH,Schnottwil,P,958,
CH,Schmitten,P,4040,650.0
CH,Schmitten,P,250,
CH,Schmerikon,P,3307,
CH,Schlossrued,P,849,
CH,Schlieren,P,12695,
CH,Schleitheim,P,1723,472.0
CH,Schinznach Dorf,P,1736,
CH,Schinznach Bad,P,1327,
CH,Schindellegi,P,3174,764.0
CH,Schiers,P,2423,
CH,Schenkon,P,2616,
CH,Schelten,P,50,
CH,Scheid,P,139,
CH,Schattdorf,P,4860,
CH,Scharans,P,867,
CH,Schanis,P,3404,
CH,Schangnau,P,912,
CH,Schafisheim,P,2758,
CH,Schaffhausen,P,33863,403.0
CH,Scanfs,P,701,
CH,Saxon,P,3477,
CH,Saxeten,P,132,
CH,Savognin,P,961,
CH,Savigny,P,3440,
CH,Saviese,P,5575,
CH,Saulcy,P,235,
CH,Sattel,P,1597,
CH,Satigny,P,3055,
CH,Sarnen,P,9410,
CH,Sarn,P,121,
CH,Sarmenstorf,P,2322,
CH,Sargans,P,5045,
CH,San Vittore,P,733,
CH,San Nazzaro,P,654,
CH,Sankt Stephan,P,1352,
CH,Sankt Peterzell,P,1207,
CH,Sankt Peter,P,180,
CH,Sankt Niklaus,P,2352,
CH,St. Moritz,P,4952,
CH,Sankt Margrethen,P,5395,
CH,Sankt Gallenkappel,P,1811,
CH,Sankt Gallen,P,70572,
CH,Sankt Antoenien,P,219,
CH,Sankt Antoni,P,1849,
CH,Samstagern,P,3163,
CH,Samnaun,P,769,
CH,Samedan,P,2700,
CH,Salvan,P,1127,
CH,Salux,P,209,
CH,Salmsach,P,1293,
CH,Salgesch,P,1240,
CH,Sales,P,1326,
CH,Saland,P,526,
CH,Saint-Ursanne,P,683,
CH,Saint-Sulpice,P,595,
CH,Saint-Prex,P,4461,
CH,Saint-Maurice,P,3701,
CH,Saint-Martin,P,751,
CH,Saint-Luc,P,347,
CH,Saint-Livres,P,568,
CH,Saint-Leonard,P,1937,
CH,Saint-Jean,P,226,
CH,Saint-Imier,P,5220,
CH,Saint-Gingolph,P,721,
CH,Sainte-Croix,P,4214,1094.0
CH,Saint-Cergue,P,1816,
CH,Saint-Brais,P,236,
CH,Saint-Blaise,P,3089,
CH,Saint-Aubin-Sauges,P,2476,821.0
CH,Saillon,P,1598,
CH,Saignelegier,P,2194,
CH,Saicourt,P,574,
CH,Safenwil,P,3201,
CH,Sachseln,P,4511,
CH,Saas-Grund,P,1116,
CH,Saas-Fee,P,1611,
CH,Saas-Balen,P,394,
CH,Saas im Praettigau,P,724,
CH,Saanen,P,6621,
CH,Rueti,P,9576,
CH,Ruti,P,347,
CH,Ruthi,P,1945,
CH,Ruswil,P,6432,
CH,Russin,P,406,
CH,Russikon,P,2415,
CH,Ruschlikon,P,4653,
CH,Ruschein,P,359,
CH,Graben,P,298,
CH,Ruschegg,P,1697,
CH,Rupperswil,P,4137,
CH,Runenberg,P,762,
CH,Rumlang,P,5144,
CH,Rumikon,P,218,
CH,Rueyres,P,222,
CH,Rueun,P,505,788.0
CH,Rueggisberg,P,1933,
CH,Rue,P,1108,
CH,Rudolfstetten,P,3800,
CH,Ruderswil,P,2329,
CH,Rubigen,P,2426,
CH,Rovray,P,188,
CH,Rovio,P,729,497.0
CH,Roveredo,P,129,
CH,Rougemont,P,909,1007.0
CH,Rotkreuz,P,10439,430.0
CH,Rothrist,P,7423,
CH,Rothenthurm,P,2098,
CH,Rothenbrunnen,P,293,
CH,Rossura,P,55,
CH,Rossiniere,P,527,
CH,Rossens,P,49,
CH,Rossa,P,140,
CH,Roschenz,P,1753,
CH,Rorschach,P,9000,
CH,Rorbas,P,1797,
CH,Ropraz,P,358,
CH,Root,P,3886,
CH,Rongellen,P,38,
CH,Ronco sopra Ascona,P,671,
CH,Romont,P,4483,
CH,Roemerswil,P,1882,
CH,Romanshorn,P,8956,
CH,Romanel-sur-Lausanne,P,3123,
CH,Rolle,P,4425,
CH,Rohrbach,P,1386,
CH,Rohr,P,2849,
CH,Roggwil,P,2500,
CH,Roggwil,P,3673,
CH,Rodersdorf,P,1338,
CH,Rodels,P,293,
CH,Roches,P,222,
CH,Roche,P,870,
CH,Robasacco,P,115,
CH,Riva San Vitale,P,2390,
CH,Ringgenberg,P,2514,
CH,Effretikon / Rikon,P,1120,
CH,Riggisberg,P,2001,
CH,Riemenstalden,P,62,
CH,Riein,P,63,
CH,Riedholz,P,1576,
CH,Riddes,P,2213,
CH,Rickenbach,P,705,
CH,Rickenbach bei Wil,P,2714,
CH,Richterswil,P,10189,
CH,Richenthal,P,769,
CH,Riaz,P,1894,
CH,Rheinfelden,P,10733,
CH,Rheineck,P,3298,
CH,Rhaezuens,P,1257,
CH,Reutigen,P,969,
CH,Renens,P,17811,
CH,Ramosch,P,485,1236.0
CH,Rekingen,P,856,
CH,Reinach,P,7845,
CH,Reigoldswil,P,1509,
CH,Reiden,P,3926,
CH,Reichenburg,P,2876,
CH,Rehetobel,P,1779,
CH,Regensdorf,P,7531,
CH,Regensberg,P,346,
CH,Reconvilier,P,2291,
CH,Rechthalten,P,1058,
CH,Rebstein,P,4163,
CH,Elsau-Raeterschen / Raeterschen,P,1071,
CH,Raron,P,1901,
CH,Rapperswil,P,34776,
CH,Raperswilen,P,434,
CH,Randogne,P,3157,
CH,Randa,P,421,
CH,Rances,P,434,
CH,Ramsen,P,1316,418.0
CH,Ramismuhle,P,505,
CH,Rafz,P,3233,
CH,Radelfingen,P,1218,
CH,Quarten,P,2715,
CH,Pura,P,1069,
CH,Pully,P,16263,
CH,Puidoux,P,2398,
CH,Prugiasco,P,184,
CH,Provence,P,371,
CH,Prilly,P,10524,
CH,Presinge,P,626,
CH,Pregassona,P,7548,
CH,Pratteln,P,14877,
CH,Prato,P,432,
CH,Praroman,P,1223,
CH,Prangins,P,3172,
CH,Praden,P,119,
CH,Poschiavo,P,3428,
CH,Portalban,P,322,
CH,Porsel,P,386,
CH,Porrentruy,P,6521,
CH,Pontresina,P,1863,
CH,Ponto Valentino,P,220,
CH,Ponthaux,P,534,
CH,Pleigne,P,394,
CH,Plasselb,P,973,
CH,Plan-les-Ouates,P,10540,
CH,Plaffeien,P,1938,
CH,Pitasch,P,120,
CH,Pignieu,P,105,
CH,Pieterlen,P,3317,
CH,Piazzogna,P,395,
CH,Pianezzo,P,539,
CH,Pfyn,P,1839,
CH,Pfungen,P,2369,
CH,Pfaffhausen,P,1684,
CH,Pfeffingen,P,2201,
CH,Pfeffikon,P,678,
CH,Pfaffnau,P,2047,
CH,Pfaffikon,P,7994,
CH,Pfaeffikon,P,7310,416.0
CH,Peseux,P,5716,
CH,Pery,P,1342,
CH,Perroy,P,1315,
CH,Perrefitte,P,515,
CH,Penthalaz,P,2241,
CH,Peney-le-Jorat,P,295,
CH,Peist,P,191,
CH,Peccia,P,175,
CH,Payerne,P,7655,
CH,Paudex,P,1352,
CH,Paspels,P,461,
CH,Parpan,P,262,
CH,Pampigny,P,843,
CH,Palezieux,P,1209,
CH,Palagnedra,P,117,
CH,Pailly,P,430,
CH,Ottenbach,P,2039,
CH,Othmarsingen,P,2267,
CH,Otelfingen,P,1808,
CH,Ossingen,P,959,
CH,Osogna,P,994,
CH,Osco,P,109,
CH,Orvin,P,1181,
CH,Orsieres,P,2725,
CH,Orpund,P,2488,
CH,Oron-la-Ville,P,1198,
CH,Ormalingen,P,1803,
CH,Orbe,P,5132,
