Entity,Code,Date,people_vaccinated_per_hundred
North Dakota,,1/19/21,6.25
North Dakota,,1/20/21,6.35
North Dakota,,1/21/21,6.43
North Dakota,,1/22/21,6.69
North Dakota,,1/23/21,7.02
North Dakota,,1/24/21,7.37
Northern Mariana Islands,MNP,1/12/21,1.92
Northern Mariana Islands,MNP,1/13/21,2.01
Northern Mariana Islands,MNP,1/14/21,6.07
Northern Mariana Islands,MNP,1/15/21,6.61
Northern Mariana Islands,MNP,1/19/21,7.83
Northern Mariana Islands,MNP,1/20/21,8.03
Northern Mariana Islands,MNP,1/21/21,8.1
Northern Mariana Islands,MNP,1/22/21,8.26
Northern Mariana Islands,MNP,1/23/21,8.82
Northern Mariana Islands,MNP,1/24/21,9.44
Ohio,,1/12/21,2.67
Ohio,,1/13/21,2.82
Ohio,,1/14/21,2.9
Ohio,,1/15/21,3.1
Ohio,,1/19/21,3.8
Ohio,,1/20/21,3.9
Ohio,,1/21/21,3.9
Ohio,,1/22/21,4.28
Ohio,,1/23/21,4.58
Ohio,,1/24/21,4.92
Oklahoma,,1/12/21,2.76
Oklahoma,,1/13/21,3
Oklahoma,,1/14/21,4.04
Oklahoma,,1/15/21,4.38
Oklahoma,,1/19/21,5.3
Oklahoma,,1/20/21,5.5
Oklahoma,,1/21/21,5.84
Oklahoma,,1/22/21,6.27
Oklahoma,,1/23/21,6.65
Oklahoma,,1/24/21,7.06
Oregon,,1/12/21,2.36
Oregon,,1/13/21,2.56
Oregon,,1/14/21,2.84
Oregon,,1/15/21,3.16
Oregon,,1/19/21,4.57
Oregon,,1/20/21,4.57
Oregon,,1/21/21,4.57
Oregon,,1/22/21,5.18
Oregon,,1/23/21,5.49
Oregon,,1/24/21,5.8
Pennsylvania,,1/12/21,2.08
Pennsylvania,,1/13/21,2.23
Pennsylvania,,1/14/21,2.76
Pennsylvania,,1/15/21,2.97
Pennsylvania,,1/19/21,3.63
Pennsylvania,,1/20/21,3.77
Pennsylvania,,1/21/21,3.97
Pennsylvania,,1/22/21,4.21
Pennsylvania,,1/23/21,4.47
Pennsylvania,,1/24/21,4.78
Puerto Rico,PRI,1/12/21,1.92
Puerto Rico,PRI,1/13/21,2.11
Puerto Rico,PRI,1/14/21,2.51
Puerto Rico,PRI,1/15/21,2.74
Puerto Rico,PRI,1/19/21,3.37
Puerto Rico,PRI,1/20/21,3.52
Puerto Rico,PRI,1/21/21,3.76
Puerto Rico,PRI,1/22/21,4.02
Puerto Rico,PRI,1/23/21,4.27
Puerto Rico,PRI,1/24/21,4.51
Republic of Palau,,1/12/21,2.32
Republic of Palau,,1/13/21,4.05
Republic of Palau,,1/14/21,4.27
Republic of Palau,,1/15/21,6.24
Republic of Palau,,1/19/21,10.68
Republic of Palau,,1/20/21,11.06
Republic of Palau,,1/21/21,13.42
Republic of Palau,,1/22/21,13.42
Republic of Palau,,1/23/21,14.98
Republic of Palau,,1/24/21,17
Rhode Island,,1/12/21,3.34
Rhode Island,,1/13/21,3.44
Rhode Island,,1/14/21,3.59
Rhode Island,,1/15/21,3.72
Rhode Island,,1/19/21,4.17
Rhode Island,,1/20/21,4.33
Rhode Island,,1/21/21,4.52
Rhode Island,,1/22/21,4.71
Rhode Island,,1/23/21,4.78
Rhode Island,,1/24/21,5.12
South Carolina,,1/12/21,1.5
South Carolina,,1/13/21,1.7
South Carolina,,1/14/21,1.87
South Carolina,,1/15/21,1.98
South Carolina,,1/19/21,3.02
South Carolina,,1/20/21,3.12
South Carolina,,1/21/21,3.38
South Carolina,,1/22/21,3.67
South Carolina,,1/23/21,4.01
South Carolina,,1/24/21,4.53
South Dakota,,1/12/21,4.67
South Dakota,,1/13/21,4.84
South Dakota,,1/14/21,5.06
South Dakota,,1/15/21,5.36
South Dakota,,1/19/21,5.8
South Dakota,,1/20/21,5.94
South Dakota,,1/21/21,6.16
South Dakota,,1/22/21,6.42
South Dakota,,1/23/21,6.89
South Dakota,,1/24/21,7.13
Tennessee,,1/12/21,2.1
Tennessee,,1/13/21,2.21
Tennessee,,1/14/21,3.5
Tennessee,,1/15/21,3.88
Tennessee,,1/19/21,4.43
Tennessee,,1/20/21,4.48
Tennessee,,1/21/21,4.59
Tennessee,,1/22/21,4.75
Tennessee,,1/23/21,4.92
