city,latitude,longitude,country_code,population
Maizuru,35.45,135.33333,JP,92465
Maebashi,36.4,139.08333,JP,282711
Maebaru-chuo,33.55916,130.20148,JP,70339
Machida,35.54028,139.45083,JP,399969
Kyoto,35.02107,135.75385,JP,1459640
Kusatsu,35.01667,135.96667,JP,127680
Kurume,33.31667,130.51667,JP,238197
Kure,34.23222,132.56658,JP,196624
Kurashiki,34.58333,133.76667,JP,437581
Kumamoto,32.80589,130.69181,JP,680423
Kumagaya,36.13497,139.39004,JP,155813
Kukichuo,36.06739,139.67498,JP,73373
Kudamatsu,34,131.86667,JP,52772
Koshigaya,35.89035,139.78916,JP,317437
Konosu,36.06868,139.51684,JP,88493
Konan,35.33165,136.87042,JP,100389
Komatsu,36.40263,136.45088,JP,109045
Komaki,35.28333,136.91667,JP,151025
Kokubunji,35.70222,139.47556,JP,118682
Kokubu-matsuki,31.73333,130.76667,JP,57896
Koga,36.18333,139.71667,JP,58004
Koga,33.73333,130.46667,JP,60045
Kofu,35.66667,138.56667,JP,190000
Kochi,33.55,133.53333,JP,335570
Kobe,34.6913,135.183,JP,1528478
Kitakyushu,33.85181,130.85034,JP,997536
Kishiwada,34.46667,135.36667,JP,205561
Kisarazu,35.38329,139.93254,JP,122524
Kiryu,36.4,139.33333,JP,110219
Kazo,36.11667,139.6,JP,71291
Kawasaki,35.52056,139.71722,JP,1306785
Kawanishi,34.81667,135.41667,JP,160520
Kawaguchi,35.80521,139.71072,JP,468565
Kawagoe,35.90861,139.48528,JP,337931
Kasukabe,35.98308,139.74966,JP,206915
Kasugai,35.24762,136.97229,JP,298589
Kashiwazaki,37.36667,138.55,JP,86183
Kashiwa,35.86224,139.97732,JP,340221
Kashihara-shi,34.50896,135.7929,JP,124521
Kashihara,34.58333,135.61667,JP,79058
Kasaoka,34.50597,133.50391,JP,58461
Kariya,34.98333,136.98333,JP,139159
Karatsu,33.4425,129.96972,JP,78330
Kanuma,36.55,139.73333,JP,94903
Kanoya,31.38333,130.85,JP,82335
Kanazawa,36.6,136.61667,JP,458937
Kamirenjaku,35.69423,139.55495,JP,178739
Kameoka,35,135.58333,JP,97181
Kamakura,35.30889,139.55028,JP,166016
Kakogawacho-honmachi,34.76943,134.82905,JP,271634
Kakegawa,34.76667,138.01667,JP,84004
Kakamigahara,35.41667,136.86667,JP,132241
Kashima-shi,35.96536,140.64474,JP,65814
Kaizuka,34.45,135.35,JP,92632
Kagoshima,31.56667,130.55,JP,555352
Kadoma,34.7381,135.57442,JP,131727
Izumo,35.36667,132.76667,JP,89286
Izumisano,34.41667,135.31667,JP,100595
Izumiotsu,34.5,135.4,JP,80772
Izumi,34.48333,135.43333,JP,189085
Iwatsuki,35.96474,139.69644,JP,108833
Iwata,34.7,137.85,JP,88509
Iwakuni,34.16297,132.22,JP,104004
Iwade,34.25,135.31667,JP,55633
Itoman,26.12647,127.66918,JP,57184
Ito,34.96667,139.08333,JP,71578
Itami,34.78427,135.40126,JP,193524
Isesaki,36.31667,139.2,JP,130692
Isehara,35.39932,139.31019,JP,103401
Ise,34.48333,136.7,JP,97314
Isahaya,32.84111,130.04306,JP,97371
Inuyama,35.37995,136.94295,JP,73995
Inazawa,35.25,136.78333,JP,102130
Ina,35.82756,137.95378,JP,62104
Imaricho-ko,33.27362,129.87877,JP,57940
Imaichi,36.71667,139.68333,JP,64323
Ikoma,34.68333,135.7,JP,117601
Ikeda,34.82208,135.4298,JP,99476
Iizuka,33.63654,130.68678,JP,78206
Iida,35.51965,137.82074,JP,107111
Ichinomiya,35.3,136.8,JP,280331
Ibaraki,34.81641,135.56828,JP,273992
Honjo,36.2378,139.19023,JP,61868
Hofu,34.05,131.56667,JP,116925
Hita,33.3213,130.94098,JP,61481
Hiroshima,34.4,132.45,JP,1143841
Hiratsuka,35.32785,139.33735,JP,259052
Hirakata,34.81352,135.64914,JP,406331
Hino,35.67306,139.40028,JP,171777
Himimachi,36.85609,136.9885,JP,54510
Himeji,34.81667,134.7,JP,481493
Hikone,35.25,136.25,JP,110925
Hekinan,34.88333,136.98333,JP,68872
Hatsukaichi,34.35,132.33333,JP,77341
Hatogaya-honcho,35.83314,139.7425,JP,53062
Hashimoto,34.31667,135.61667,JP,57115
Hanyu,36.16667,139.53333,JP,58686
Hanno,35.85194,139.31806,JP,86262
Handa,34.88333,136.93333,JP,116119
Hamamatsu,34.7,137.73333,JP,605098
Hamakita,34.8,137.78333,JP,86502
Hadano,35.37111,139.22361,JP,174281
Hachioji,35.65583,139.32389,JP,579399
Omihachiman,35.12861,136.0976,JP,69189
Gyoda,36.14074,139.46011,JP,86343
Gushikawa,26.35937,127.86735,JP,65251
Gotenba,35.31859,138.94343,JP,83794
Ginowan,26.26265,127.76147,JP,91800
Gifu-shi,35.42291,136.76039,JP,397714
Gamagori,34.83333,137.23333,JP,80786
Futtsu,35.3108,139.81877,JP,51650
Honcho,35.70129,139.98648,JP,560743
Fukuyama,34.48333,133.36667,JP,383298
Fukuroi,34.75,137.91667,JP,63045
Fukuoka,33.6,130.41667,JP,1392289
Fukui-shi,36.06443,136.22257,JP,248707
Fukuchiyama,35.3,135.11667,JP,68735
Fukayacho,36.2,139.28333,JP,106595
Fujisawa,35.34926,139.47666,JP,394624
Fujioka,36.24624,139.07204,JP,63358
Fujinomiya,35.21667,138.61667,JP,121515
Fujieda,34.86667,138.26667,JP,132859
Fuji,35.16667,138.68333,JP,240014
Fuchucho,34.5735,133.23513,JP,50746
Daitocho,34.71378,135.62033,JP,129521
Chofu,35.65924,139.54837,JP,212977
Chiryu,35,137.03333,JP,67062
Chino,35.9944,138.15428,JP,56567
Chikushino-shi,33.49631,130.5156,JP,100353
Chigasaki,35.33638,139.40434,JP,231657
Chichibu,35.99028,139.07639,JP,58507
Beppu,33.27945,131.49751,JP,125065
Ashiya,34.72807,135.30264,JP,88573
Ashikaga,36.33333,139.45,JP,159671
Anjo,34.95828,137.08054,JP,178402
Anan,33.91667,134.65,JP,55421
Amagasaki,34.71667,135.41667,JP,442173
Kariya,34.75136,134.38734,JP,52015
Ageoshimo,35.97145,139.61382,JP,219401
Okinawa,26.33583,127.80139,JP,125483
Hasuda,35.97113,139.6491,JP,65161
Kamifukuoka,35.87266,139.51369,JP,52323
Sayama,35.85295,139.41212,JP,160843
Fussa,35.73667,139.32361,JP,62296
Asaka,35.80472,139.60194,JP,128058
Wako,35.78944,139.62333,JP,77435
Shimotoda,35.815,139.6853,JP,118731
Kimitsu,35.35043,139.87029,JP,92126
Miura,35.14,139.61917,JP,51483
Wakayama,34.23333,135.16667,JP,351000
Uwajima,33.22375,132.56001,JP,58971
Saijo,33.91667,133.18333,JP,58823
Matsuyama,33.83916,132.76574,JP,443322
Yotsukaido,35.65,140.16667,JP,86701
Yonezawa,37.91,140.11667,JP,94486
Yamagata,38.23333,140.36667,JP,254538
Yachimata,35.65,140.31667,JP,83322
Ushiku,35.96667,140.13333,JP,80020
Tsukuba,36.2,140.1,JP,175589
Toride,35.9,140.08333,JP,80716
Togane,35.55,140.36667,JP,66332
Tendo,38.35361,140.36972,JP,65393
Sukagawa,37.28333,140.38333,JP,68790
Shiroi,35.8,140.06667,JP,55314
Shiogama,38.31667,141.03333,JP,59526
Sendai,38.26667,140.86667,JP,1063103
Sakura,35.71667,140.23333,JP,182549
Ryugasaki,35.9,140.18333,JP,85761
Otawara,36.86667,140.03333,JP,58888
Oami,35.51667,140.31667,JP,53239
Narita,35.78333,140.31667,JP,100641
Moriya,35.93333,140,JP,56566
Morioka,39.7,141.15,JP,295172
Mooka,36.43333,140.01667,JP,65717
Mobara,35.42583,140.29608,JP,97315
Mizusawa,39.13333,141.13333,JP,61281
Miyako,39.64691,141.94057,JP,51721
Mito,36.35,140.45,JP,246538
Kuroiso,36.96667,140.05,JP,61230
Koriyama,37.4,140.38333,JP,340560
Kitakami,39.28333,141.11667,JP,93854
Kitaibaraki,36.78671,140.74901,JP,50843
Katsuta,36.38333,140.53333,JP,155968
Katori-shi,35.89767,140.49943,JP,83181
Iwaki,37.05,140.88333,JP,357309
Ishioka,36.18333,140.26667,JP,52304
Ishinomaki,38.41667,141.3,JP,117233
Ichinoseki,38.91667,141.13333,JP,62970
Ichihara,35.51667,140.08333,JP,283531
Hitachi,36.6,140.65,JP,186307
Hanamaki,39.38333,141.11667,JP,73115
Furukawa,38.57167,140.95556,JP,76312
Fukushima,37.75,140.46667,JP,294237
Chiba,35.6,140.11667,JP,919729
Akita,39.71667,140.11667,JP,320069
Abiko,35.86667,140.01667,JP,131771
Tomakomai,42.63694,141.60333,JP,174806
Sapporo,43.06667,141.35,JP,1883027
Otaru,43.18944,141.00222,JP,143792
Odate,40.27178,140.55756,JP,64543
Obihiro,42.91722,143.20444,JP,173890
Noshiro,40.20838,140.0274,JP,51079
Muroran,42.31722,140.98806,JP,96197
Kushiro,42.975,144.37472,JP,183612
Kitami,43.80306,143.89083,JP,113137
Iwamizawa,43.20028,141.75972,JP,85107
Ishikari,43.23972,141.35389,JP,57301
Kitahiroshima,42.97583,141.56722,JP,62370
Hirosaki,40.59306,140.4725,JP,174972
Hakodate,41.77583,140.73667,JP,275730
Hachinohe,40.5,141.5,JP,239046
Ebetsu,43.10806,141.55056,JP,133953
Chitose,42.81944,141.65222,JP,92942
Asahikawa,43.77063,142.36489,JP,356612
Aomori,40.81667,140.73333,JP,298394
Nanto-shi,36.56922,136.91162,JP,55315
Neyagawa,34.76615,135.62759,JP,238549
Hitachi-Naka,36.39659,140.53479,JP,156811
Onojo,33.53567,130.47861,JP,94957
Minokamo,35.48199,137.02166,JP,51543
Joetsu,37.14828,138.23642,JP,204137
Saitama,35.90807,139.65657,JP,1193350
Higashimurayama,35.75459,139.46852,JP,150556
Arashiyama,35.01481,135.67755,JP,50000
Dazaifu,33.51278,130.52389,JP,70587
Kamigyo-ku,35.02954,135.75666,JP,83000
Kuwana,35.05192,136.66958,JP,140051
Eisen,36.82167,128.63083,KR,84625
Eisen,35.9675,128.93083,KR,56006
Yangsan,35.34199,129.03358,KR,71936
Yangp'yong,37.48972,127.49056,KR,83367
Yangju,37.83311,127.06169,KR,179923
Wonju,37.35139,127.94528,KR,243387
Wanju,35.84509,127.14752,KR,84009
Ulsan,35.53722,129.31667,KR,962865
Uijeongbu-si,37.7415,127.0474,KR,479141
Daejeon,36.34913,127.38493,KR,1475221
Daegu,35.87028,128.59111,KR,2566540
Boryeong,36.34931,126.59772,KR,62039
Suwon,37.29111,127.00889,KR,1242724
Suncheon,34.9505,127.48784,KR,230796
Seoul,37.566,126.9784,KR,10349312
Seosan,36.78167,126.45222,KR,74208
Sokcho,38.20701,128.59181,KR,89047
Sangju,36.41528,128.16056,KR,55640
Busan,35.10168,129.03004,KR,3678555
Bucheon-si,37.49889,126.78306,KR,850731
Pohang,36.02917,129.36481,KR,500000
Osan,37.15222,127.07056,KR,158978
Asan,36.78361,127.00417,KR,97749
Okcheon,36.3012,127.568,KR,56634
Kosong,38.37881,128.4676,KR,62446
Nangen,35.41,127.38583,KR,58057
Mungyeong,36.59458,128.19946,KR,81525
Muan,34.99014,126.47899,KR,75718
Mokpo,34.81282,126.39181,KR,268402
Miryang,35.49333,128.74889,KR,53103
Masan,35.12725,126.83149,KR,434371
Gyeongsan-si,35.82333,128.73778,KR,129903
Gyeongju,35.84278,129.21167,KR,155237
Kwangyang,34.97528,127.58917,KR,89281
Gwangju,37.41,127.25722,KR,81780
Gwangju,35.15472,126.91556,KR,1416938
Guri-si,37.5986,127.1394,KR,195236
Gunsan,35.97861,126.71139,KR,243406
Gumi,36.1136,128.336,KR,291006
Goyang-si,37.65639,126.835,KR,1073069
Gongju,36.45556,127.12472,KR,72435
Kyosai,34.85028,128.58861,KR,72124
Koch'ang,35.43333,126.7,KR,72996
Kimhae,35.23417,128.88111,KR,356242
Gimcheon,36.12176,128.11981,KR,150000
Gapyeong,37.83101,127.51059,KR,55415
Gangneung,37.75266,128.87239,KR,180611
Iksan,35.94389,126.95444,KR,283501
Incheon,37.45646,126.70515,KR,2628000
Icheon-si,37.27917,127.4425,KR,196230
